,Target,Date,Tweet Ago,Compound,Positive,Negative,Neutral,Text,Source
0,BBC,2018-01-15 20:12:31,1,0.5267,0.175,0.0,0.825,RT @BBCNewsbeat: Cyrille Regis was an inspiration to many footballers both on and off the pitch ? https://t.co/uoJqWWcXql,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,BBC,2018-01-15 20:09:52,2,-0.2942,0.052,0.101,0.847,"RT @bbcasiannetwork: ?? @HarpreetUK has got the moves! ??
Watch the moment she smashed her dance challenge with India's No. 1??dance crew @…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
2,BBC,2018-01-15 20:08:50,3,0.3382,0.165,0.109,0.726,"RT @mixital: This week's @bbceastenders story of the week features a shocking discovery at The Vic! 

Watch Chris' brilliant #fanfic story…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,BBC,2018-01-15 20:08:25,4,-0.4588,0.109,0.239,0.652,RT @cbbc: Find out what it's like having a dad in prison with #MyLife Missing Dad today 5.30pm https://t.co/UMLCkp9wpI,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,BBC,2018-01-15 19:17:04,5,0.0,0.0,0.0,1.0,"? Discover the life story and work of Irish novelist James Joyce. 

Anjelica Huston on James Joyce: A Shout in the… https://t.co/ZSr9IF6dGp","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
5,BBC,2018-01-15 19:00:07,6,0.0,0.0,0.0,1.0,??? How snappers are coping with the cold snap! https://t.co/HXcJ2n3bh3,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
6,BBC,2018-01-15 17:56:06,7,-0.3818,0.0,0.115,0.885,? @RussellCrowe stars as an Australian who travels to Turkey after the Battle of Gallipoli to try and locate his th… https://t.co/7ejtbKyAzn,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
7,BBC,2018-01-15 17:43:04,8,0.5255,0.215,0.0,0.785,"RT @BBC6Music: Excuse me while I kiss you... on both cheeks! 
Previously unheard @JimiHendrix coming on @shaunwkeaveny's @BBC6Breakfast sho…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
8,BBC,2018-01-15 17:40:58,9,-0.5574,0.0,0.153,0.847,"The Cranberries lead singer Dolores O'Riordan has died in London at the age of 46, her publicist has confirmed. ?… https://t.co/koJrY04IEd","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
9,BBC,2018-01-15 17:30:03,10,0.0,0.0,0.0,1.0,These robots can 'imagine' the future. ?? https://t.co/7cWUlVIkHk,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
10,BBC,2018-01-15 17:00:13,11,0.25,0.133,0.0,0.867,New research suggests the female advantage in life expectancy has fundamental biological roots.… https://t.co/qjCCiZ19cd,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
11,BBC,2018-01-15 14:30:07,12,-0.6239,0.097,0.234,0.669,"It's easy to feel bogged down by bad weather and post-festive blues at this time of year. But fear not! 

Here are… https://t.co/nzRV8TsYJw","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
12,BBC,2018-01-15 14:02:03,13,0.0,0.0,0.0,1.0,"155 years ago, the world's first tunnel underneath a river was built. 

This is the history of the London Undergrou… https://t.co/awVEDUOxSx","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
13,BBC,2018-01-15 13:33:03,14,0.7845,0.365,0.0,0.635,Thousands of people celebrated alternative black culture at Africa's first AfroPunk festival. ?… https://t.co/nBFMlSDism,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
14,BBC,2018-01-15 13:03:25,15,0.7424,0.208,0.0,0.792,"RT @BBC_Teach: The stage is set for today's #500Words Live Lesson and it's looking ?!

Join us and these lovely people ? at 2pm to get thei…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
15,BBC,2018-01-15 13:01:04,16,0.7096,0.282,0.0,0.718,"Martin Luther King combined radical thought, political nous &amp; oratorical brilliance.

His I Have A Dream speech des… https://t.co/esYwLTTPAL","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
16,BBC,2018-01-15 12:33:47,17,0.0,0.0,0.0,1.0,"RT @BBCRadio2: ? @achrisevans officially declares 2018's 500 Words competition....OPEN! ?
Do you know a child with a knack for storytelling…","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
17,BBC,2018-01-15 12:33:01,18,-0.3818,0.0,0.126,0.874,"These turtles have to battle through piles of rubbish and debris to get back to the ocean. ? 

#OurBluePlanet https://t.co/mbI36NK98e","<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>"
18,BBC,2018-01-15 12:28:53,19,0.0,0.0,0.0,1.0,RT @bbcthree: #McMafia - the real-life heists behind the BBC drama https://t.co/1livSl0Wjt https://t.co/quEY9ExXmY,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"
